artist,album_type,track_name,release_date,release_year,popularity,duration_ms,explicit,disc_number,track_number,song_age_years,staying_index
BTS,album,Intro: Skool Luv Affair,2014-05-14,2014,43,178282,False,1,3,11,3.583333333333333
BTS,album,Iine!,2014-12-24,2014,42,232466,False,1,7,11,3.5
BTS,album,Introduction : Youth,2016-09-07,2016,42,138973,False,1,1,9,4.2
TXT,album,Outro : STILL,2021-01-19,2021,41,73600,False,1,10,4,8.2
aespa,album,도깨비불 (Illusion),2022-07-08,2022,40,195053,False,1,2,3,10.0
BTS,album,소우주 (Mikrokosmos),2019-04-12,2019,40,224225,False,1,3,6,5.714285714285714
TXT,single,PS5,2022-02-23,2022,40,152214,False,1,1,3,10.0
aespa,album,Girls,2022-07-08,2022,40,240440,False,1,1,3,10.0
Blackpink,album,DDU-DU-DDU-DU,2021-06-01,2021,39,241555,False,1,11,4,7.8
aespa,single,Hot Mess,2024-07-03,2024,39,192375,False,1,1,1,19.5
BTS,album,봄날,2017-02-13,2017,39,274097,False,1,15,8,4.333333333333333
TXT,album,Intro : DREAMING,2021-01-19,2021,38,74306,False,1,1,4,7.6
BTS,single,Waste It On Me (feat. BTS),2018-10-25,2018,38,192536,False,1,1,7,4.75
aespa,single,Supernova - KENZIE RE:WORKS,2024-10-07,2024,37,212440,False,1,1,1,18.5
TXT,single,0X1=LOVESONG (I Know I Love You) feat. MOD SUN,2021-09-10,2021,37,218755,False,1,1,4,7.4
BTS,single,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth & Muni Long) (Sped Up)",2023-06-28,2023,36,147189,False,1,2,2,12.0
BTS,album,Make It Right,2019-04-12,2019,36,226321,False,1,4,6,5.142857142857143
BTS,single,Angel Pt. 2,2023-07-13,2023,36,176454,False,1,1,2,12.0
BTS,album,HOME,2019-04-12,2019,36,234177,False,1,5,6,5.142857142857143
BTS,album,00:00 (Zero O’Clock),2020-02-21,2020,35,250295,False,1,13,5,5.833333333333333
BTS,album,좋아요,2013-06-12,2013,34,231893,False,1,6,12,2.6153846153846154
BTS,single,Angel Pt. 2 - Sped Up,2023-07-13,2023,34,147189,False,1,2,2,11.333333333333334
BTS,album,Inner Child,2020-02-21,2020,34,233265,False,1,14,5,5.666666666666667
BTS,single,"Angel Pt. 1 (feat. Kodak Black, NLE Choppa, Jimin of BTS, JVKE & Muni Long)",2024-05-15,2024,33,175802,False,1,2,1,16.5
BTS,album,I Need U,2015-04-29,2015,33,210986,False,1,2,10,3.0
BTS,album,쩔어,2015-04-29,2015,33,240020,False,1,5,10,3.0
aespa,single,By Your Side,2023-08-23,2023,32,167000,False,1,2,2,10.666666666666666
BTS,album,불타오르네 (Fire),2016-05-02,2016,32,203351,False,1,10,9,3.2
BTS,album,시차,2020-02-21,2020,32,234457,False,1,9,5,5.333333333333333
BTS,single,Angel Pt. 2 (feat. Jimin of BTS & JVKE feat. Charlie Puth & Muni Long),2024-05-15,2024,32,176454,False,1,3,1,16.0
